Provinsi/Kabupaten/Kota,Laki-laki (2020),Laki-laki (2021),Laki-laki (2022),Perempuan (2020),Perempuan (2021),Perempuan (2022)
ACEH,68.04,68.07,68.26,71.91,71.94,72.16
Simeulue,63.3,63.33,63.52,67.14,67.15,67.36
Aceh Singkil,65.39,65.4,65.56,69.31,69.31,69.54
Aceh Selatan,62.4,62.46,62.68,66.2,66.26,66.51
Aceh Tenggara,66.11,66.17,66.39,70.06,70.14,70.42
Aceh Timur,66.72,66.76,66.92,70.63,70.65,70.86
Aceh Tengah,66.8,66.8,66.95,70.78,70.78,70.98
Aceh Barat,65.95,65.96,66.13,69.91,69.93,70.14
Aceh Besar,67.8,67.8,67.96,71.69,71.69,71.9
Pidie,64.94,64.95,65.12,68.84,68.85,69.06
Bireuen,69.23,69.26,69.45,73.11,73.14,73.37
Aceh Utara,66.78,66.78,66.94,70.73,70.73,70.94
Aceh Barat Daya,63.04,63.1,63.31,66.86,66.93,67.18
Gayo Lues,63.5,63.55,63.76,67.34,67.4,67.65
Aceh Tamiang,67.56,67.59,67.78,71.5,71.54,71.79
Nagan Raya,67.21,67.24,67.43,71.13,71.19,71.39
Aceh Jaya,65.16,65.19,65.37,69.06,69.09,69.31
Bener Meriah,67.21,67.27,67.49,71.14,71.14,71.39
Pidie Jaya,68.15,68.21,68.43,72.04,72.08,72.31
Kota Banda Aceh,69.48,69.56,69.81,73.33,73.38,73.65
Kota Sabang,68.51,68.55,68.75,72.42,72.46,72.71
Kota Langsa,67.41,67.42,67.59,71.34,71.35,71.56
Kota Lhokseumawe,69.63,69.7,69.93,73.47,73.52,73.76
Kota Subulussalam,62.08,62.14,62.35,65.86,65.91,66.16
SUMATERA UTARA,67.22,67.35,67.66,71.08,71.21,71.6
Nias,67.74,67.79,68.01,71.67,71.7,72
Mandailing Natal,60.68,60.74,61.07,64.42,64.47,64.88
Tapanuli Selatan,62.96,63.05,63.3,66.77,66.82,67.13
Tapanuli Tengah,65.11,65.19,65.44,69.09,69.17,69.52
Tapanuli Utara,66.6,66.72,67.01,70.57,70.7,71.11
Toba Samosir / Toba,68.08,68.22,68.54,71.99,72.2,72.69
Labuhan Batu,67.9,67.92,68.32,71.86,71.9,72.35
Asahan,66.22,66.34,66.63,70.2,70.33,70.72
Simalungun,69.24,69.38,69.66,73.12,73.27,73.69
Dairi,66.99,67.2,67.58,70.91,71.08,71.53
Karo,69.42,69.55,69.85,73.28,73.46,73.91
Deli Serdang,69.76,69.88,70.17,73.61,73.65,73.96
Langkat,66.78,66.98,67.34,70.71,70.89,71.33
Nias Selatan,66.72,66.87,67.15,70.65,70.76,71.11
Humbang Hasundutan,67.25,67.45,67.83,71.18,71.42,71.94
Pakpak Bharat,63.79,63.94,64.27,67.62,67.84,68.34
Samosir,69.29,69.39,69.67,73.16,73.3,73.72
Serdang Bedagai,66.66,66.86,67.23,70.61,70.75,71.15
Batu Bara,64.95,65.13,65.44,68.85,69.02,69.45
Padang Lawas Utara,65.11,65.2,65.45,69.1,69.18,69.52
Padang Lawas,65.09,65.18,65.43,68.99,69.04,69.35
Labuhan Batu Selatan,66.63,66.72,66.97,70.65,70.71,71.06
Labuhan Batu Utara,67.46,67.59,67.89,71.37,71.48,71.85
Nias Utara,67.41,67.52,67.78,71.34,71.45,71.81
Nias Barat,66.94,67.07,67.34,70.88,70.99,71.35
Kota Sibolga,67,67.29,67.73,70.93,71.18,71.71
Kota Tanjung Balai,61.34,61.58,61.99,65.1,65.27,65.71
Kota Pematang Siantar,71.65,71.9,72.33,75.38,75.58,76.06
Kota Tebing Tinggi,68.9,69.02,69.32,72.77,72.85,73.2
Kota Medan,71.21,71.37,71.71,74.98,75.07,75.43
Kota Binjai,70.43,70.54,70.84,74.24,74.32,74.67
Kota Padangsidimpuan,67.25,67.34,67.66,71.35,71.43,71.79
Kota Gunungsitoli,69.22,69.34,69.64,73.08,73.2,73.59
SUMATERA BARAT,67.59,67.7,67.99,71.45,71.57,71.89
Kepulauan Mentawai,62.72,62.72,62.9,66.59,66.6,66.82
Pesisir Selatan,68.85,68.93,69.19,72.76,72.85,73.14
Solok,66.56,66.77,67.15,70.5,70.71,71.11
Sijunjung,64.23,64.38,64.7,68.09,68.24,68.59
Tanah Datar,67.94,68.12,68.48,71.86,72.04,72.42
Padang Pariaman,66.77,66.94,67.28,70.72,70.89,71.27
Agam,70.41,70.58,70.93,74.24,74.39,74.75
Lima Puluh Kota,67.79,67.84,68.07,71.71,71.76,72.01
Pasaman,65.37,65.53,65.86,69.34,69.55,69.95
Solok Selatan,65.77,65.94,66.26,69.76,69.99,70.39
Dharmasraya,69.35,69.55,69.91,73.22,73.41,73.78
Pasaman Barat,65.69,65.69,65.87,69.78,69.94,70.3
Kota Padang,71.76,71.83,72.08,75.45,75.46,75.7
Kota Solok,71.7,71.83,72.15,75.44,75.56,75.9
Kota Sawah Lunto,68.02,68.15,68.46,71.9,71.99,72.29
Kota Padang Panjang,70.87,70.87,71.04,74.63,74.63,74.84
Kota Bukittinggi,72.51,72.66,72.99,76.18,76.3,76.62
Kota Payakumbuh,71.84,71.96,72.25,75.56,75.65,75.95
Kota Pariaman,68.22,68.26,68.47,72.2,72.3,72.61
RIAU,69.75,69.82,70.03,73.55,73.62,73.9
Kuantan Singingi,66.43,66.43,66.57,70.48,70.54,70.81
Indragiri Hulu,68.24,68.24,68.38,72.17,72.17,72.39
Indragiri Hilir,65.81,65.94,66.19,69.79,69.95,70.3
Pelalawan,69.17,69.25,69.47,73.05,73.12,73.41
Siak,69.12,69.16,69.34,72.99,73.01,73.25
Kampar,68.75,68.81,69.02,72.68,72.75,73.04
Rokan Hulu,68.05,68.18,68.45,71.97,72.09,72.42
Bengkalis,69.22,69.28,69.48,73.08,73.11,73.37
Rokan Hilir,68.31,68.41,68.65,72.21,72.29,72.59
Kepulauan Meranti,65.66,65.77,66.01,69.59,69.69,70
Kota Pekanbaru,70.41,70.51,70.76,74.2,74.26,74.55
Kota Dumai,68.92,68.98,69.18,72.83,72.88,73.14
JAMBI,69.27,69.33,69.57,73.07,73.19,73.49
Kerinci,67.98,68.04,68.27,71.84,71.96,72.26
Merangin,69.34,69.4,69.63,73.15,73.18,73.43
Sarolangun,67.13,67.13,67.31,71.16,71.34,71.71
Batang Hari,68.61,68.7,68.97,72.48,72.56,72.87
Muaro Jambi,69.34,69.42,69.67,73.16,73.26,73.55
Tanjung Jabung Timur,64.3,64.42,64.72,68.12,68.23,68.56
Tanjung Jabung Barat,66.11,66.13,66.33,70.06,70.16,70.46
Tebo,67.96,67.96,68.13,71.9,71.98,72.25
Bungo,65.77,65.87,66.14,69.66,69.81,70.15
Kota Jambi,70.76,70.82,71.06,74.5,74.58,74.88
Kota Sungai Penuh,70.22,70.31,70.59,73.98,74.1,74.43
SUMATERA SELATAN,68,68.11,68.38,71.86,71.95,72.29
Ogan Komering Ulu,65.98,65.99,66.15,70.15,70.19,70.49
Ogan Komering Ilir,66.41,66.44,66.62,70.57,70.62,70.95
Muara Enim,67.25,67.37,67.64,70.86,70.97,71.33
Lahat,64.01,64.17,64.49,67.95,68.07,68.44
Musi Rawas,66.05,66.21,66.52,70.1,70.21,70.58
Musi Banyuasin,66.58,66.61,66.79,70.71,70.79,71.14
Banyu Asin,66.8,66.83,67.01,70.92,71,71.38
Ogan Komering Ulu Selatan,64.98,65.08,65.32,68.97,68.98,69.27
Ogan Komering Ulu Timur,67.04,67.17,67.45,71.05,71.12,71.44
Ogan Ilir,63.46,63.63,63.95,67.38,67.49,67.87
Empat Lawang,63.09,63.2,63.45,66.97,66.99,67.31
Penukal Abab Lematang Ilir,66.09,66.1,66.26,70.23,70.28,70.59
Musi Rawas Utara,63.66,63.8,64.09,67.57,67.64,67.96
Kota Palembang,68.74,69.01,69.45,72.71,72.93,73.41
Kota Prabumulih,68.27,68.47,68.84,72.24,72.37,72.78
Kota Pagar Alam,64.67,64.86,65.21,68.64,68.78,69.22
Kota Lubuklinggau,67.14,67.26,67.54,71.19,71.31,71.75
BENGKULU,67.47,67.54,67.74,71.27,71.4,71.68
Bengkulu Selatan,65.86,65.86,66.06,69.88,70.01,70.24
Rejang Lebong,66.65,66.85,67.09,70.5,70.68,71.01
Bengkulu Utara,66.16,66.2,66.36,70.12,70.23,70.5
Kaur,64.72,64.83,65.06,68.52,68.63,68.91
Seluma,65.79,65.94,66.21,69.66,69.82,70.13
Mukomuko,64.71,64.8,65.01,68.54,68.64,68.91
Lebong,61.29,61.29,61.42,65.18,65.38,65.72
Kepahiang,66,66.13,66.27,69.88,70.02,70.23
Bengkulu Tengah,66.14,66.14,66.31,70.17,70.25,70.49
Kota Bengkulu,68.21,68.28,68.48,72.05,72.11,72.36
LAMPUNG,68.78,68.86,69.07,72.61,72.69,72.97
Lampung Barat,65.53,65.58,65.76,69.5,69.58,69.86
Tanggamus,66.54,66.67,66.92,70.47,70.56,70.86
Lampung Selatan,67.31,67.4,67.62,71.24,71.33,71.62
Lampung Timur,68.71,68.77,68.95,72.63,72.68,72.93
Lampung Tengah,67.81,67.84,68,71.77,71.81,72.06
Lampung Utara,67.17,67.26,67.48,71.13,71.24,71.55
Way Kanan,67.36,67.41,67.58,71.32,71.38,71.64
Tulangbawang,67.94,67.98,68.14,71.89,71.94,72.18
Pesawaran,67,67.12,67.37,70.94,71.05,71.36
Pringsewu,68.06,68.25,68.58,71.98,72.16,72.55
Mesuji,66.13,66.18,66.36,70.12,70.21,70.49
Tulang Bawang Barat,67.98,68.02,68.18,71.91,71.95,72.19
Pesisir Barat,61.55,61.71,61.99,65.34,65.52,65.89
Kota Bandar Lampung,69.36,69.42,69.61,73.23,73.25,73.49
Kota Metro,69.64,69.69,69.88,73.51,73.55,73.8
BANGKA,69.06,69.15,69.34,72.94,73,73.23
Bangka,69.06,69.15,69.34,72.94,73,73.23
Belitung,69.04,69.09,69.24,72.93,73,73.23
Bangka Barat,68.05,68.07,68.19,71.98,72.03,72.24
Bangka Tengah,69.39,69.57,69.84,73.23,73.39,73.7
Bangka Selatan,66.1,66.26,66.51,70.1,70.34,70.72
Belitung Timur,70.07,70.15,70.35,73.91,74,74.26
Kota Pangkal Pinang,71.36,71.48,71.71,75.12,75.23,75.51
KEPULAUAN RIAU,68.08,68.24,68.58,71.9,72.07,72.47
Karimun,68.91,69.11,69.5,72.81,73.02,73.46
Bintan,68.34,68.41,68.66,72.3,72.41,72.75
Natuna,63.08,63.32,63.72,66.92,67.17,67.63
Lingga,60.15,60.47,60.95,63.88,64.23,64.78
Kepulauan Anambas,65.2,65.35,65.67,69.11,69.27,69.65
Kota Batam,71.38,71.41,71.63,75.17,75.21,75.49
Kota Tanjung Pinang,70.12,70.21,70.49,73.97,74.05,74.37
DKI JAKARTA,71.1,71.21,71.45,74.8,74.91,75.22
Kepulauan Seribu,66.67,66.84,67.02,70.74,71.03,71.27
